Año;Mes;Dia;Hora;minutos;segundos;Temperatura;Precipitacion;Humedad;Rendimiento
2008;5;11;0;0;0;30.4;3.8;88;6
2008;5;12;0;0;0;30.2;0;96;6
2008;5;13;0;0;0;29.2;7.2;83;6
2008;5;14;0;0;0;29.4;13;95;6
2008;5;15;0;0;0;30;32.5;95;6
2008;5;16;0;0;0;28.2;14;93;6
2008;5;17;0;0;0;24.2;10;0;6
2008;5;18;0;0;0;28.2;0;82;6
2008;5;19;0;0;0;27.6;12;95;6
2008;5;20;0;0;0;27.8;44;93;6
2008;5;21;0;0;0;27.2;18.5;96;6
2008;5;22;0;0;0;28.6;18;89;6
2008;5;23;0;0;0;24;16.5;96;6
2008;5;24;0;0;0;28.4;14.5;93;6
2008;5;25;0;0;0;27.4;100;91;6
2008;5;26;0;0;0;27;18;95;6
2008;5;27;0;0;0;27.2;46;93;6
2008;5;28;0;0;0;26;52.5;98;6
2008;5;29;0;0;0;28;0.9;94;6
2008;5;30;0;0;0;29;0;80;6
2008;5;31;0;0;0;28.8;0;74;6
2008;6;1;0;0;0;29.4;19;80;6
2008;6;2;0;0;0;28.6;29;90;6
2008;6;3;0;0;0;26.4;0;93;6
2008;6;4;0;0;0;28.8;1.3;91;6
2008;6;5;0;0;0;29.2;0;95;6
2008;6;6;0;0;0;29;0;89;6
2008;6;7;0;0;0;29.2;1.7;0;6
2008;6;8;0;0;0;28;0;90;6
2008;6;9;0;0;0;27.6;0;93;6
2008;6;10;0;0;0;28.2;1;89;6
2008;6;11;0;0;0;28.6;0.7;83;6
2008;6;12;0;0;0;30.6;17;90;6
2008;6;13;0;0;0;29.6;25;88;6
2008;6;14;0;0;0;27.4;16;83;6
2008;6;15;0;0;0;28.2;0;92;6
2008;6;16;0;0;0;29;29;95;6
2008;6;17;0;0;0;29;1.2;93;6
2008;6;18;0;0;0;28.4;0;86;6
2008;6;19;0;0;0;28.8;3;93;6
2008;6;20;0;0;0;29.6;33;0;6
2008;6;21;0;0;0;29.4;1.5;86;6
2008;6;22;0;0;0;28.8;55;95;6
2008;6;23;0;0;0;28;0;94;6
2008;6;24;0;0;0;28.6;1.7;91;6
2008;6;25;0;0;0;26.6;1.5;90;6
2008;6;26;0;0;0;29.2;0.4;93;6
2008;6;27;0;0;0;28.8;0;86;6
2008;6;28;0;0;0;29.4;0;82;6
2008;6;29;0;0;0;30.2;0;68;6
2008;6;30;0;0;0;30;0;70;6
2008;7;1;0;0;0;29.6;0;90;6
2008;7;2;0;0;0;28;10;91;6
2008;7;3;0;0;0;28.8;0;93;6
2008;7;4;0;0;0;27.8;0;93;6
2008;7;5;0;0;0;27.6;2.5;92;6
2008;7;6;0;0;0;28.2;12.5;89;6
2008;7;7;0;0;0;29.6;0;77;6
2008;7;8;0;0;0;28.4;65;95;6
2008;7;9;0;0;0;28;0;94;6
2008;7;10;0;0;0;25.8;31;91;6
2008;7;11;0;0;0;28.6;0;94;6
2008;7;12;0;0;0;29;0;85;6
2008;7;13;0;0;0;27.8;24;0;6
2008;7;14;0;0;0;27.2;2.5;89;6
2008;7;15;0;0;0;28.2;28;93;6
2008;7;16;0;0;0;27;0;96;6
2008;7;17;0;0;0;26.6;17.5;93;6
2008;7;18;0;0;0;28.4;13.5;94;6
2008;7;19;0;0;0;28.8;0;94;6
